0,black,68,-1,75,0,0,0,0,15,1,0,CREDIT_LINE_NEXT_Y CREDIT_LINE_BGIMAGE 
1, ,128,-1,75,0,0,0,0,15,1000,0,CREDIT_LINE_WAIT 
2,Game Designed By,2050,-1,150,1,320,212.5441492,0,15,5000,1000,CREDIT_LINE_STATIC CREDIT_LINE_ITALIC 
3,treyarch_logo,258,-1,100,1,320,226.5441492,128,266.9117017,5000,1000,CREDIT_LINE_STATIC CREDIT_LINE_IMAGE 
4, ,128,-1,75,0,0,0,0,15,7500,0,CREDIT_LINE_WAIT 
5,Directed by,2050,-1,225,1,320,320,0,15,2000,1000,CREDIT_LINE_STATIC CREDIT_LINE_ITALIC 
6,Jason Blundell,2,-1,150,1,320,364.4444444,0,15,2000,1000,CREDIT_LINE_STATIC 
7,Dan Bunting,2,-1,150,1,320,400,0,15,2000,1000,CREDIT_LINE_STATIC 
8, ,128,-1,75,0,0,0,0,15,4500,0,CREDIT_LINE_WAIT 
9,Studio Design Director,2050,-1,225,1,320,230,0,15,2000,1000,CREDIT_LINE_STATIC CREDIT_LINE_ITALIC 
10,David Vonderhaar,2,-1,150,1,320,271.6666667,0,15,2000,1000,CREDIT_LINE_STATIC 
11,Studio Creative Director,2050,-1,225,1,320,334.1666667,0,15,2000,1000,CREDIT_LINE_STATIC CREDIT_LINE_ITALIC 
12,Corky Lehmkuhl,2,-1,150,1,320,375.8333333,0,15,2000,1000,CREDIT_LINE_STATIC 
13,Art Director,2050,-1,225,1,320,438.3333333,0,15,2000,1000,CREDIT_LINE_STATIC CREDIT_LINE_ITALIC 
14,Colin Whitney,2,-1,150,1,320,480,0,15,2000,1000,CREDIT_LINE_STATIC 
15, ,128,-1,75,0,0,0,0,15,4500,0,CREDIT_LINE_WAIT 
16,Senior Director of Technology,2050,-1,225,1,320,230,0,15,2000,1000,CREDIT_LINE_STATIC CREDIT_LINE_ITALIC 
17,David King,2,-1,150,1,320,271.6666667,0,15,2000,1000,CREDIT_LINE_STATIC 
18,Director of Technology,2050,-1,225,1,320,334.1666667,0,15,2000,1000,CREDIT_LINE_STATIC CREDIT_LINE_ITALIC 
19,Martin Donlon,2,-1,150,1,320,375.8333333,0,15,2000,1000,CREDIT_LINE_STATIC 
20,Director of Technology,2050,-1,225,1,320,438.3333333,0,15,2000,1000,CREDIT_LINE_STATIC CREDIT_LINE_ITALIC 
21,Trevor Walker,2,-1,150,1,320,480,0,15,2000,1000,CREDIT_LINE_STATIC 
22, ,128,-1,75,0,0,0,0,15,4500,0,CREDIT_LINE_WAIT 
23,Director of Production,2050,-1,225,1,320,230,0,15,2000,1000,CREDIT_LINE_STATIC CREDIT_LINE_ITALIC 
24,Pat Dwyer,2,-1,150,1,320,271.6666667,0,15,2000,1000,CREDIT_LINE_STATIC 
25,Animation Director,2050,-1,225,1,320,334.1666667,0,15,2000,1000,CREDIT_LINE_STATIC CREDIT_LINE_ITALIC 
26,Dom Drozdz,2,-1,150,1,320,375.8333333,0,15,2000,1000,CREDIT_LINE_STATIC 
27,Audio Director,2050,-1,225,1,320,438.3333333,0,15,2000,1000,CREDIT_LINE_STATIC CREDIT_LINE_ITALIC 
28,Brian Tuey,2,-1,150,1,320,480,0,15,2000,1000,CREDIT_LINE_STATIC 
29, ,128,-1,75,0,0,0,0,15,4500,0,CREDIT_LINE_WAIT 
30,Story By,2050,-1,225,1,320,320,0,15,2000,1000,CREDIT_LINE_STATIC CREDIT_LINE_ITALIC 
31,Jason Blundell,2,-1,150,1,320,364.4444444,0,15,2000,1000,CREDIT_LINE_STATIC 
32,Craig Houston,2,-1,150,1,320,400,0,15,2000,1000,CREDIT_LINE_STATIC 
