1,pnt 1,-6760,-8096,-1699,0,90,1
2,pnt 2,-7472,-7817,-1361,14,62,1
3,pnt 3,-7936,-6600,-1151,19,48,1
4,pnt 4,-7513,-4722,-1302,17,55,1
5,pnt 5,-7480,-2846,-1126,19,55,1
6,pnt 6,-6749,-1522,-1025,13,86,1
7,pnt 7,-6624,-55,-1060,11,99,1
8,pnt 8,-5002,-114,-714,14,136,1
9,pnt 9,-5272,1563,-959,2,106,1
10,pnt 10,-6319,2923,-872,9,37,1
11,pnt 11,-3886,2707,-789,4,33,1
12,pnt 12,-2458,3574,-883,-4,0,1
13,pnt 13,-1571,2633,-76,21,20,1
14,pnt 14,-242,4239,-316,6,-66,1
15,pnt 15,1184,2416,-107,11,-125,1
16,pnt 16,511,-295,13,13,158,1
17,pnt 17,-1446,305,-234,9,-93,1
18,pnt 18,-147,-2965,143,17,47,1
19,pnt 19,-1421,-2359,-121,0,-3,1
20,pnt 20,-887,-1582,295,19,-40,1
21,pnt 21,-14,-2531,-86,4,2,1
22,pnt 22,104,-1470,146,8,-40,1
23,pnt 23,2223,-2628,-175,-3,-7,1
24,pnt 24,4269,-2736,-26,5,86,1
25,pnt 25,3733,-425,119,9,59,1
26,pnt 26,4257,2675,-164,0,85,1
27,pnt 27,4635,2922,836,25,104,1
28,pnt 28,5600,6088,1041,22,146,1
29,pnt 29,3112,6739,1061,26,61,1
30,pnt 30,3546,8012,1096,29,91,1
31,pnt 31,3677,9075,711,15,-109,1
