1,pnt 1,-5423,-2883,1553,14,92,1
2,pnt 2,-5301,-2057,1433,6,98,1
3,pnt 3,-5376,-398,1401,5,100,1
4,pnt 4,-5313,1971,1541,4,96,1
5,pnt 5,-5945,3794,1829,8,5,1
6,pnt 6,-4426,3798,1838,9,28,1
7,pnt 7,-2601,5018,1841,12,-21,1
8,pnt 8,168,5142,1846,11,-70,1
9,pnt 9,786,4562,2219,25,-74,1
10,pnt 10,525,2604,2443,37,-66,1
11,pnt 11,896,1131,1733,24,-87,1
12,pnt 12,805,-1436,970,21,-87,1
13,pnt 13,-524,-3569,815,24,-28,1
14,pnt 14,875,-2800,283,8,-87,1
15,pnt 15,499,-5624,351,21,-20,1
16,pnt 16,1057,-5979,219,21,0,1
17,pnt 17,3272,-5775,140,6,-43,1
18,pnt 18,4116,-6981,339,2,39,1
19,pnt 19,4960,-6080,352,0,86,1
20,pnt 20,6217,-5158,357,0,122,1
21,pnt 21,5182,-3620,378,5,53,1
22,pnt 22,5023,-3094,267,-14,72,1
23,pnt 23,5869,-1743,493,0,131,1
24,pnt 24,5270,-1197,441,-11,89,1
25,pnt 25,5281,575,811,0,-88,1
26,pnt 26,5267,-1201,803,-22,0,1
27,pnt 27,6682,-1166,1718,24,-172,1
28,pnt 28,5486,-81,2012,26,-91,1
