1,pnt 1,-6235,-2107,-88,0,47,1
2,pnt 2,-4807,-1952,-451,0,90,1
3,pnt 3,-4815,-156,-73,18,90,1
4,pnt 4,-4815,490,73,14,88,1
5,pnt 5,-5229,640,-103,2,70,1
6,pnt 6,-3348,2558,48,11,121,1
7,pnt 7,-4204,4471,439,8,2,1
8,pnt 8,-2724,4971,532,9,-69,1
9,pnt 9,-3006,3273,585,11,-56,1
10,pnt 10,-2493,1831,904,21,-67,1
11,pnt 11,-2759,-29,74,9,-9,1
12,pnt 12,-152,-435,652,3,9,1
13,pnt 13,1307,-1206,1306,16,37,1
14,pnt 14,2520,-401,937,7,56,1
15,pnt 15,2512,412,926,8,49,1
16,pnt 16,2634,1302,922,5,70,1
17,pnt 17,3931,2132,1595,21,123,1
18,pnt 18,1081,4070,1603,15,48,1
19,pnt 19,4270,4572,1429,-2,145,1
20,pnt 20,3410,5988,1556,14,160,1
21,pnt 21,2,5656,1831,11,153,1
22,pnt 22,-1464,5202,1923,8,117,1
23,pnt 23,-2076,6132,2343,19,135,1
24,pnt 24,-4448,10438,1899,4,-34,1
25,pnt 25,-1592,9225,2626,48,147,1
26,pnt 26,-2437,9395,2020,-3,10,1
27,pnt 27,86,9162,2839,40,146,1
28,pnt 28,-187,9507,3610,36,0,1
29,pnt 29,219,11145,4145,24,-121,1
